Vehicle_ID,Vehicle_Type,Speed (km/h),Position_X,Position_Y,Vehicle_Priority,Communication_Mode,Slice_ID,Slice_Type,Requested_Bandwidth (Mbps),Allocated_Bandwidth (Mbps),Scheduling_Algorithm,Latency (ms),Energy_Consumption (W),AI_Optimization_Score,Vehicle_Mobility_Index,Congestion_Level,Signal_Strength (dBm),Traffic_Density,Weather_Condition,Throughput (Mbps),AI_Decision_Time (ms),Network_Stability_Index,Packet_Loss_Rate (%),Throughput_Efficiency,Time_Stamp,Time_of_Day
V056,SUV,90,691,569,1,V2I,Slice2,mMTC,276,138,Simulated Annealing,92,42,0.9345397781287859,0.6562547615738086,8,-75,61,Snow,93,38,9.567081875667576,1.5583466530575896,0.7689147988876448,2025-01-25 12:21:32,Night
V057,SUV,74,155,368,0,V2I,Slice2,eMBB,178,120,Genetic Algorithm,32,45,0.8073245422585885,0.44897560714428386,1,-72,74,Snow,75,14,7.250870686848906,4.509222804122386,0.845017327492738,2025-01-25 03:58:21,Morning
V058,Truck,55,205,774,1,V2V,Slice3,eMBB,92,100,Genetic Algorithm,69,14,0.8472182809512976,0.9781992015258149,7,-71,20,Fog,44,23,8.83474358055618,3.320818113071672,0.7327308781647711,2025-01-25 00:41:24,Night
V059,Truck,58,433,985,0,V2V,Slice1,eMBB,236,155,Simulated Annealing,28,36,0.8422987939038495,0.48995168008391005,4,-87,83,Rain,94,15,6.589040204317,0.6421332370861293,0.8761579435462417,2025-01-25 01:11:40,Afternoon
V060,Truck,45,497,669,1,V2I,Slice3,URLLC,212,38,Simulated Annealing,72,29,0.7058627182414334,0.5822153540678986,4,-88,6,Snow,93,48,7.1376427624657435,0.7230059462361321,0.8806910120669107,2025-01-25 21:43:35,Evening
V061,SUV,55,77,529,1,V2I,Slice1,URLLC,110,132,Reinforcement Learning,23,43,0.700064919031563,0.5580914690130512,9,-84,0,Fog,93,44,8.063866881626296,1.1257880616897598,0.9543294551471659,2025-01-25 11:08:59,Morning
V062,Truck,98,270,498,0,V2X,Slice3,eMBB,196,74,Simulated Annealing,80,45,0.9515143751560389,0.5886678317368738,5,-77,20,Fog,149,23,9.103195817595013,3.912136722924107,0.7990863098155544,2025-01-25 08:21:33,Morning
V063,Motorcycle,55,530,255,0,V2I,Slice1,URLLC,103,33,Reinforcement Learning,83,30,0.9933382849321764,0.6661568964266851,5,-65,6,Clear,132,27,9.642630579699908,4.677751956990019,0.7893732593903855,2025-01-25 16:00:09,Afternoon
V064,Truck,79,719,586,1,V2V,Slice2,mMTC,235,219,Simulated Annealing,23,24,0.9268455419214878,0.5589521655783364,1,-63,15,Rain,50,21,9.769017767179598,3.8678457482683717,0.9856918235293592,2025-01-25 18:43:33,Morning
V065,Truck,45,930,692,0,V2X,Slice2,URLLC,112,130,Simulated Annealing,60,27,0.7214662210322091,0.6259745029265,8,-67,53,Rain,129,43,6.650000039808068,0.1232600648951665,0.8350288472878468,2025-01-25 14:10:54,Morning
V066,SUV,52,803,101,0,V2I,Slice1,URLLC,271,127,Reinforcement Learning,49,31,0.8826055515353347,0.5600371945107455,6,-75,62,Snow,52,42,7.76749225222834,0.7416489329433112,0.7867690825803193,2025-01-25 17:04:47,Night
V067,Truck,115,416,73,1,V2V,Slice3,URLLC,219,100,Simulated Annealing,26,48,0.8877807642437338,0.9858756538004833,2,-88,74,Snow,68,23,8.703037439852238,2.651704530665998,0.8818348826271757,2025-01-25 01:15:34,Night
V068,Sedan,35,550,377,1,V2V,Slice2,URLLC,55,225,Genetic Algorithm,67,15,0.7807140487409833,0.5729223941532364,5,-89,51,Fog,54,36,9.010610631524928,2.884363294710997,0.7429531071815454,2025-01-25 09:47:48,Evening
V069,Motorcycle,20,676,474,1,V2V,Slice1,URLLC,283,230,Genetic Algorithm,48,25,0.8462098897455623,0.5817697660162165,5,-90,85,Snow,85,27,8.0192201351391,4.192348680855428,0.8158650567358875,2025-01-25 18:32:59,Afternoon
V070,SUV,84,176,287,1,V2I,Slice2,URLLC,231,159,Simulated Annealing,87,37,0.7038310021254812,0.6222196125032956,10,-71,13,Rain,111,49,6.2280488690876,1.806603509404151,0.8376974106767988,2025-01-25 14:02:07,Afternoon
V071,Sedan,81,948,277,1,V2V,Slice2,eMBB,144,85,Simulated Annealing,11,39,0.8404532548883608,0.7776515641582382,5,-66,1,Fog,66,12,9.205467807864437,4.306646865344513,0.9650091639095086,2025-01-25 11:52:10,Night
V072,Truck,104,339,76,0,V2I,Slice2,URLLC,173,155,Simulated Annealing,54,47,0.7808781713258197,0.9820706771778474,5,-81,19,Snow,78,23,9.447745818684211,0.7970428036727162,0.9180216629093253,2025-01-25 00:27:29,Afternoon
V073,Motorcycle,34,663,758,0,V2X,Slice1,eMBB,221,84,Reinforcement Learning,86,19,0.7650705504472655,0.7529221749765955,3,-86,67,Rain,108,16,9.563973423937675,0.9709470327854586,0.8173550511566131,2025-01-25 22:11:00,Night
V074,Sedan,47,294,741,0,V2I,Slice2,URLLC,236,184,Reinforcement Learning,71,19,0.9923171437736324,0.9906403485563117,3,-85,93,Clear,90,33,9.502115657401408,1.4312508321810746,0.8395598181023224,2025-01-25 22:49:31,Night
V075,Truck,54,24,876,1,V2V,Slice2,eMBB,63,155,Genetic Algorithm,22,12,0.9019033467743747,0.6076998465030633,5,-70,41,Clear,86,10,9.015338620343359,1.22431833234989,0.9826617674297995,2025-01-25 17:14:34,Evening
V076,Motorcycle,25,673,119,1,V2I,Slice3,mMTC,65,49,Simulated Annealing,50,27,0.9677520405447555,0.9522193284449321,10,-88,27,Snow,58,39,7.662550572008971,3.9158773212496594,0.9510950263433375,2025-01-25 23:15:48,Morning
V077,Motorcycle,26,905,40,0,V2X,Slice1,eMBB,170,86,Simulated Annealing,65,31,0.7436602302524435,0.6334545659511454,5,-65,20,Rain,44,13,6.719142605976261,1.7025691924121666,0.7352485425728436,2025-01-25 00:20:27,Evening
V078,Sedan,47,315,781,1,V2V,Slice3,URLLC,109,242,Reinforcement Learning,30,38,0.7688343821134647,0.7772180918810575,7,-61,11,Snow,105,37,6.5265369974409735,0.5610930815452958,0.8076270293549229,2025-01-25 12:41:24,Night
V079,Sedan,69,63,651,1,V2V,Slice3,eMBB,206,174,Genetic Algorithm,36,17,0.9780598907967071,0.4310764870834867,10,-69,96,Clear,62,19,8.833750852168524,2.5884678598690996,0.8389045333558449,2025-01-25 09:05:11,Night
V080,Motorcycle,101,343,54,0,V2I,Slice3,eMBB,152,199,Reinforcement Learning,39,17,0.7843034349514022,0.402477212680508,3,-67,54,Fog,77,39,9.113994093397697,0.6327938868269722,0.7605467989296764,2025-01-25 16:15:45,Night
V081,Sedan,56,567,218,1,V2I,Slice1,URLLC,155,200,Reinforcement Learning,40,12,0.9637808332501053,0.5351815739168009,10,-72,2,Clear,130,29,8.608360687136255,4.117706180420507,0.7386522970212059,2025-01-25 22:17:14,Morning
V082,Motorcycle,50,635,150,1,V2X,Slice1,mMTC,281,208,Genetic Algorithm,33,39,0.9217444333680552,0.4232031862995647,1,-65,98,Fog,65,42,8.291101672890722,1.6618197831477328,0.7952615640814398,2025-01-25 01:07:48,Afternoon
V083,Sedan,26,784,434,0,V2X,Slice3,eMBB,132,170,Simulated Annealing,60,19,0.7113301430705946,0.654238221181672,5,-86,18,Clear,139,31,8.3585824401685,2.471510802727849,0.8985162136054625,2025-01-25 03:38:15,Morning
V084,Motorcycle,72,297,129,0,V2V,Slice1,eMBB,110,53,Genetic Algorithm,83,17,0.7456078743234348,0.6679585121148508,5,-83,0,Clear,143,30,6.261851351781493,4.419091568167253,0.9876319943885636,2025-01-25 17:53:47,Night
V085,SUV,57,937,379,1,V2I,Slice3,eMBB,262,227,Reinforcement Learning,43,16,0.8673033962207255,0.9729304415266639,1,-67,96,Snow,124,13,7.129373664431837,2.007191147849348,0.9925958387557244,2025-01-25 14:44:25,Night
V086,SUV,60,885,614,0,V2V,Slice3,URLLC,146,119,Genetic Algorithm,28,47,0.9751164272818171,0.5039659459309535,4,-67,93,Rain,47,17,6.6817210879745,0.48149196061597843,0.9627498546918288,2025-01-25 15:14:13,Evening
V087,Truck,111,872,271,1,V2X,Slice3,eMBB,143,153,Reinforcement Learning,26,48,0.8728505297793144,0.6716219441648577,7,-65,0,Snow,79,26,7.817918057184965,4.3267289173991665,0.9132401335179177,2025-01-25 14:06:19,Evening
V088,Truck,60,814,505,0,V2V,Slice1,URLLC,63,61,Reinforcement Learning,62,28,0.9096064680176528,0.5847031226888568,10,-76,3,Fog,141,10,6.309775589182147,0.6867528717706317,0.7224595334081956,2025-01-25 07:42:15,Night
V089,Motorcycle,78,333,534,1,V2V,Slice3,eMBB,208,84,Simulated Annealing,43,23,0.9021559688192271,0.4359155782529348,6,-84,3,Fog,64,33,7.323209283599228,3.758955233691057,0.7047579296605195,2025-01-25 13:30:51,Evening
V090,Motorcycle,32,591,154,1,V2I,Slice2,URLLC,267,223,Reinforcement Learning,23,42,0.7341707979711334,0.4640672214717907,4,-61,74,Rain,111,26,9.502461081213555,2.206089472358626,0.7071271055600529,2025-01-25 05:52:20,Night
V091,Truck,31,345,691,1,V2V,Slice3,URLLC,232,162,Simulated Annealing,37,37,0.9488161304319879,0.9264238667234536,1,-71,3,Rain,60,38,6.392403574079843,3.851709361742796,0.7299704049840697,2025-01-25 01:55:27,Night
V092,Sedan,45,424,582,0,V2I,Slice2,mMTC,67,34,Genetic Algorithm,20,29,0.9196001933692474,0.6384763789870853,5,-84,15,Clear,69,16,8.261373405275297,0.5170322520084847,0.8390843931677443,2025-01-25 02:07:02,Evening
V093,SUV,98,670,463,1,V2V,Slice2,eMBB,53,235,Genetic Algorithm,47,49,0.7960314319960675,0.859372785499865,9,-86,80,Fog,57,31,7.048568053463345,3.714962902473677,0.705559238953024,2025-01-25 06:17:44,Morning
V094,SUV,102,832,486,1,V2X,Slice1,mMTC,213,35,Simulated Annealing,58,10,0.8381920130627296,0.6692324130251239,9,-89,95,Clear,148,22,7.4836617663778675,3.0404054976930555,0.8065973659668664,2025-01-25 21:37:20,Afternoon
V095,Truck,73,627,138,0,V2I,Slice3,mMTC,126,113,Reinforcement Learning,63,35,0.8439835947805758,0.9478013382470837,6,-65,84,Snow,131,23,7.198707655598728,1.1250982404389454,0.9855813048378439,2025-01-25 15:16:22,Night
V096,Motorcycle,65,454,141,1,V2X,Slice3,URLLC,102,63,Simulated Annealing,16,19,0.9382793263170205,0.8213016528106103,1,-86,40,Fog,101,20,6.249067810171946,2.1695432909406707,0.8683133079494962,2025-01-25 22:52:31,Evening
V097,Truck,53,670,198,1,V2V,Slice1,mMTC,278,174,Reinforcement Learning,27,41,0.9856648817573892,0.6046373638371565,6,-82,33,Snow,130,24,6.2765544673199285,4.295055772638736,0.8817498608992516,2025-01-25 08:25:36,Afternoon
V098,SUV,114,794,600,0,V2I,Slice3,URLLC,59,160,Simulated Annealing,42,41,0.9573436882786572,0.917645949382864,8,-82,0,Rain,48,35,7.879059759828067,2.694763000599641,0.8471692975374856,2025-01-25 13:12:23,Afternoon
V099,Truck,75,259,138,0,V2V,Slice3,eMBB,150,212,Simulated Annealing,71,29,0.8436101577304186,0.4521853148765007,5,-83,63,Rain,113,35,9.387481387928121,0.6672982093375557,0.9944945286870226,2025-01-25 23:37:51,Afternoon
V100,Truck,100,119,812,0,V2V,Slice3,mMTC,271,62,Genetic Algorithm,20,45,0.8014250143117947,0.4456268088118361,8,-85,19,Snow,97,14,9.729672452136999,3.7788253006340393,0.7500998377229523,2025-01-25 22:30:43,Morning
V101,Truck,76,536,544,0,V2I,Slice2,mMTC,176,102,Genetic Algorithm,58,39,0.7693163126479621,0.7329076756742459,8,-76,22,Rain,80,27,6.905361420233131,0.6187945737573042,0.992666439162631,2025-01-25 15:00:53,Night
V102,Truck,54,360,223,0,V2X,Slice1,eMBB,235,99,Reinforcement Learning,93,43,0.905934966822631,0.8387845643250145,3,-72,71,Rain,79,10,9.589900104379158,1.760161478328928,0.840108131376971,2025-01-25 07:14:57,Afternoon
V103,SUV,36,413,360,0,V2V,Slice1,eMBB,109,166,Reinforcement Learning,67,42,0.8252737624445856,0.7605750927935522,10,-67,13,Snow,136,11,6.1922176843189565,0.5243584374914573,0.9776013840819082,2025-01-25 11:16:15,Evening
V104,SUV,52,193,115,1,V2X,Slice3,URLLC,282,239,Simulated Annealing,64,23,0.7426861395221984,0.7975979428118645,3,-64,38,Fog,113,12,9.359893081929961,1.9817974769977464,0.8921904206670702,2025-01-25 08:37:32,Night
V105,Motorcycle,74,942,19,0,V2I,Slice3,URLLC,53,133,Genetic Algorithm,27,31,0.7147597227201331,0.5563729094246904,1,-87,46,Snow,101,46,8.198918072440389,4.282313545374513,0.7607550713584809,2025-01-25 09:33:36,Afternoon
V106,SUV,117,81,323,0,V2X,Slice3,eMBB,187,165,Simulated Annealing,59,37,0.8746591576959846,0.9267580583209798,2,-85,72,Snow,135,48,6.345245921935822,3.8908265023567132,0.9388374017179238,2025-01-25 07:07:31,Morning
V107,Motorcycle,37,294,36,0,V2I,Slice1,mMTC,283,110,Genetic Algorithm,68,39,0.9620249924778446,0.9830475977079225,7,-86,73,Rain,84,25,6.307877149812528,4.54942607400138,0.7399216294564162,2025-01-25 07:29:38,Afternoon
V108,Sedan,53,243,573,1,V2V,Slice1,mMTC,157,148,Reinforcement Learning,24,17,0.7992208594353973,0.633006981469652,7,-85,39,Fog,53,43,6.568878011198075,2.69972445064681,0.9435507749891645,2025-01-25 09:00:35,Night
V109,SUV,117,311,379,0,V2X,Slice1,mMTC,217,54,Reinforcement Learning,13,37,0.7634301198567317,0.6453460400741606,10,-69,72,Rain,57,26,6.192706337946844,3.2769976000333316,0.7105498445742434,2025-01-25 19:37:57,Afternoon
