Vehicle_ID,Vehicle_Type,Speed_km_h,Position_X,Position_Y,Vehicle_Priority,Communication_Mode,Slice_ID,Slice_Type,Requested_Bandwidth_Mbps,Allocated_Bandwidth_Mbps,Latency_ms,Energy_Consumption_W,AI_Optimization_Score,Vehicle_Mobility_Index,Congestion_Level,Signal_Strength_dBm,Traffic_Density,Weather_Condition,Throughput_Mbps,AI_Decision_Time_ms,Network_Stability_Index,Packet_Loss_Rate_%,Throughput_Efficiency,Time_Stamp,Time_of_Day
15,Motorcycle,23.578436034745337,867.3455047021125,54.115467803649395,Medium,V2V,1,eMBB,15.74071870890933,10.411205871226255,44.37610590353151,23.408374014754152,0.6920429488846991,0.6204647933697024,3,-62.454864847217,33,Snow,7.090420204696112,5.394717680261527,0.8068912971580391,0.25285011088628195,0.9386373669251948,2023-01-01 00:14:00,Night
16,Sedan,25.409503446290344,848.7524666688433,586.4677720405472,Emergency,V2V,4,eMBB,76.53936821559957,61.869301567634324,5.557712945819551,24.78022671142946,0.8500826685154773,0.6250188697926269,5,-106.4454918221819,3,Snow,52.19081419882372,14.95730033608273,0.8158284528929791,4.550550833742701,0.7648251006063058,2023-01-01 00:15:00,Night
17,Motorcycle,4.979679061188764,511.5195574628737,887.2960105042081,Emergency,V2V,6,eMBB,89.4653490548255,76.67516705533257,49.711335466247554,16.648926867010395,0.8083313990620632,0.36050090350211395,7,-102.50709903225959,75,Rain,44.128638478155764,7.491378274691665,0.6646450293214023,3.707428310778801,0.6733132957227163,2023-01-01 00:16:00,Night
18,Motorcycle,38.648104223487564,706.6877084605435,528.482000959547,Emergency,V2V,5,URLLC,14.110570439284325,53.280359853402764,17.105344925949982,28.60389802608094,0.6779135252073123,0.5643812996569143,1,-66.4011579920575,12,Rain,6.053312347924678,18.192531111783687,0.779971118143675,4.488989748970935,0.5719086206886371,2023-01-01 00:17:00,Afternoon
19,Motorcycle,67.169359360041,192.75201041271228,877.8191725700715,High,V2V,4,eMBB,57.288474194729645,13.610314085418725,35.82962955911473,42.34328947629761,0.845006840342624,0.8021524601870306,4,-102.4425976509071,90,Fog,50.27585546899847,17.673703192377385,0.7867870874703553,2.538862866790943,0.7131546320379063,2023-01-01 00:18:00,Evening
20,Truck,102.95218967967945,688.3967049269083,810.9912730552393,Medium,V2I,2,mMTC,60.9382030037663,25.945638211731296,7.30758828822889,16.14563955007983,0.6712965374627603,0.8144774060644224,10,-89.02936048148874,73,Fog,34.480845416982646,18.460532060251168,0.5516301164588393,2.159176640870189,0.5562753193089173,2023-01-01 00:19:00,Evening
21,SUV,80.03129369504168,272.38457926328954,75.85378579492075,Medium,V2V,6,eMBB,49.49450929013044,33.227957396259555,24.90528885702183,11.328679508209603,0.72619190357997,0.4238638620388282,3,-102.1706000409281,9,Fog,19.296484217411837,3.45852263921933,0.5523350469229071,3.038040043559983,0.786234197292128,2023-01-01 00:20:00,Morning
22,Sedan,52.24755880797017,832.0620967541507,201.9574743856899,Medium,V2X,6,URLLC,55.24603621910183,64.65194693260088,2.9664683349189254,38.77388137250566,0.9253989242196938,0.28655179802737096,8,-77.16042856667924,55,Rain,7.851518196453339,9.642437977162471,0.9228205245213676,2.823506912359273,0.9115714055492701,2023-01-01 00:21:00,Morning
23,SUV,114.37441372729654,83.72413310890991,657.7106691553424,Low,V2I,6,eMBB,73.9321060145982,10.902064213976972,44.04157784974564,36.202952059911446,0.5591289773017183,0.15997986888024043,8,-61.705005406617964,13,Snow,38.66935385655019,17.335586932057996,0.8929088443417601,4.353745408857995,0.6867431371059574,2023-01-01 00:22:00,Night
24,Motorcycle,86.30942406909982,773.1386728852775,443.50138255004157,Medium,V2V,4,URLLC,53.53530762891941,54.465810527804706,22.875038152631937,42.314925758186305,0.7162216640000862,0.786205867446225,8,-113.0329569588061,15,Fog,15.483307710410363,17.251031965152013,0.9385937093926908,4.471418623698573,0.6323791439911997,2023-01-01 00:23:00,Night
25,Motorcycle,111.619824343506,99.93690656861953,290.6998136469206,Medium,V2V,8,URLLC,92.76869205564057,14.804102578038263,37.3949484252612,38.81921529721247,0.5459541647350183,0.23231774682021575,5,-71.93401494829926,87,Rain,78.00719161332054,8.586205930435842,0.5345461530731952,0.5308223210881154,0.6212815708780641,2023-01-01 00:24:00,Morning
26,SUV,63.31055679265988,881.1892368943089,418.63385604797907,Medium,V2V,1,URLLC,58.67864179129084,40.56078091013787,44.83121316174207,23.86835477134754,0.5193695090980835,0.3536032585332828,4,-85.7599458468282,42,Snow,75.91471006852326,3.716164373449939,0.6253466294671672,1.8789049238080988,0.5330937379784959,2023-01-01 00:25:00,Morning
27,SUV,31.068512975176752,304.2045181350037,445.19964627063433,Emergency,V2V,8,eMBB,16.461699361062184,43.30006551221563,4.361168116512227,12.055783911243974,0.9830374014267598,0.7495070866950706,4,-87.48466426105928,42,Snow,52.240307594212645,16.03069155023247,0.9151356166703203,3.897740551846364,0.8310169005064472,2023-01-01 00:26:00,Morning
28,SUV,6.339202363766638,654.3933648305748,910.5522508215965,High,V2V,8,eMBB,95.7992194568065,45.66540681721892,26.06061757264153,37.153463339753145,0.7812654354001922,0.7267792400771088,9,-82.80289983090115,25,Rain,32.96360140773896,10.945903198543233,0.9707534842880783,1.8917394094973585,0.5992592141976786,2023-01-01 00:27:00,Morning
29,Motorcycle,87.13018217806206,487.50227862027987,103.45828370495302,Low,V2I,5,eMBB,23.2129631522249,68.97824347129232,10.287514642658161,44.52810619353305,0.9885516940792747,0.44753110654857,7,-70.6932160120539,40,Clear,29.520717199109157,7.305912688896212,0.6433683158843515,3.294696826264187,0.9055158496928255,2023-01-01 00:28:00,Afternoon
30,Motorcycle,14.556359760664094,366.303145262339,279.730746807615,Emergency,V2V,9,mMTC,80.60139100139304,12.307677588151526,4.381344229535818,11.876311039346515,0.9294359007700466,0.6549097845007037,2,-77.52257860380135,94,Snow,12.44694476183897,16.193642643569255,0.9017923715650682,3.6750899679042477,0.8669880465696309,2023-01-01 00:29:00,Afternoon
31,Sedan,36.333015392636064,645.4418331834964,537.5648165827139,Medium,V2V,9,mMTC,57.421511782462176,29.141808860818642,31.479622425172717,28.339915667659806,0.9926421697530519,0.2908885473796087,7,-89.77534732086377,53,Snow,36.11762489875836,5.753237268691601,0.7789384742194676,3.02689750980654,0.8639477872748893,2023-01-01 00:30:00,Morning
32,Sedan,63.896508946067684,947.522980551238,698.2869266305917,High,V2I,4,URLLC,76.68032088422538,62.70167962999987,6.590742784301525,19.798642732384565,0.967310185999207,0.8439108220787771,7,-118.26219897058552,62,Rain,88.4965980996184,2.594537355591737,0.7658403203907241,4.977570125317953,0.8760181263371403,2023-01-01 00:31:00,Night
33,Motorcycle,67.72999053356972,41.26974737462186,630.6372889592436,High,V2V,2,mMTC,56.208689576322755,89.92090009573951,25.104821157558806,28.375792324001587,0.9396268460316155,0.8613513248547178,8,-95.89280209236915,89,Clear,93.91562783232419,3.625248667586348,0.7161821194017841,1.3368533412774093,0.5594767752387763,2023-01-01 00:32:00,Evening
34,SUV,72.06998363845632,918.8528558831043,941.6427377373944,High,V2V,1,eMBB,15.307318029934692,60.87177459531016,10.649003861026559,6.409724167622281,0.8621213868391486,0.8537176310637511,8,-66.08840849891047,87,Clear,10.536649007927037,17.527222558676456,0.5899336447460426,1.8694673082464033,0.8404562560617634,2023-01-01 00:33:00,Evening
35,SUV,19.950639641964077,609.0816550210135,795.6089248194733,High,V2V,8,eMBB,43.74333367205924,84.50295013462441,10.688347423145066,20.908545788794676,0.8673316215828459,0.5984340125297248,6,-85.35997045841906,22,Fog,21.652851872432073,5.552227311510905,0.850282504173393,4.591970267437432,0.5112292326539223,2023-01-01 00:34:00,Evening
36,Sedan,45.56848857859785,807.3143007690524,557.0768419744303,Medium,V2V,8,eMBB,65.86173838364735,92.1565325776451,26.626719448785817,26.79021217672753,0.9713488546939824,0.15718809623740598,7,-97.04426176419221,79,Fog,44.38507057323878,8.293798811771977,0.9045085823909638,2.865696223485863,0.5722388438146616,2023-01-01 00:35:00,Night
37,Motorcycle,74.063307254036,383.8749534342776,214.68269167350752,Low,V2I,7,mMTC,66.59939966794099,84.55138913154758,28.214094211924863,11.78914225127049,0.9885047848163848,0.5907959941061666,3,-116.0069070641991,63,Snow,78.25262735360172,11.802497620194968,0.9387878176274091,3.720102249869962,0.6515507647256629,2023-01-01 00:36:00,Night
38,Sedan,116.37826375605417,471.8429748376137,450.8742314022398,Medium,V2X,3,URLLC,97.57399979654119,92.49861878333705,1.1704864422052552,23.336986238549475,0.9720131921316566,0.4374532674809911,3,-61.90667128593977,53,Rain,50.15763358642765,3.3131184074410056,0.5239102553320103,1.1411747883420225,0.7665635138789523,2023-01-01 00:37:00,Evening
39,Sedan,87.31573652396264,868.850751801164,693.3822441944774,High,V2V,3,mMTC,64.56922285361975,74.93372962674437,25.53769380221951,12.921069936519196,0.7415940119700313,0.41615359018169196,10,-106.12896653134216,3,Fog,8.134445884193624,9.306866678677927,0.7484551614336394,2.5479981542445165,0.7281005272532577,2023-01-01 00:38:00,Afternoon
40,Truck,110.71245085127494,414.8479698098231,837.962174836085,Medium,V2V,8,URLLC,35.779521825637104,84.84407419510015,33.81776297375341,14.704576648719364,0.9384747960358781,0.12239649895006269,1,-80.0682222727079,78,Clear,51.383670141240756,17.941831047423676,0.7786929342902229,2.770783099302892,0.9569430680687815,2023-01-01 00:39:00,Night
41,Truck,91.46544699770125,534.659566749085,959.7362244223874,High,V2V,8,eMBB,13.908294107364325,49.23063858766336,34.24707690970635,48.994879391137246,0.7551103593775504,0.7992371280861024,8,-84.41452012457047,11,Rain,55.82086409221556,13.063458454959381,0.7110579595387637,2.5072277244561216,0.8734878203394096,2023-01-01 00:40:00,Night
42,Truck,71.00603626708805,20.194923084332906,605.4527661379177,Medium,V2I,2,URLLC,80.95736810024783,36.089515693227966,42.644126075605385,32.081446556476706,0.7821257748291559,0.7861693507100761,1,-110.01903045719689,64,Clear,52.66037292437481,3.2403531538214585,0.9054362166569969,0.43852070176525715,0.514747484133824,2023-01-01 00:41:00,Morning
43,SUV,23.042804296361346,158.5980058380423,526.9193673044324,Low,V2I,1,mMTC,90.03614108180707,94.97395668330205,44.869720097982885,22.52372871677039,0.9120218696657973,0.3590832762660594,9,-107.4240623174268,66,Fog,84.94438595514913,11.231878668955313,0.7746367835889948,1.7351793488179743,0.7216041973499623,2023-01-01 00:42:00,Night
44,Motorcycle,80.00227822710157,641.6865079747997,17.691923121148314,High,V2V,1,mMTC,65.2274236334878,13.79839136057434,31.520211291730277,28.457443678096393,0.9150458888584152,0.8821138444062727,7,-63.588450876529556,38,Snow,41.73614567656403,15.850469013916864,0.6371141822078077,3.9408970802206467,0.6418264941582803,2023-01-01 00:43:00,Afternoon
45,Motorcycle,74.80554791518885,716.9769010638771,72.09906915017994,Medium,V2V,1,mMTC,53.41392424185533,91.23787785210773,24.609768881040637,22.23796323131969,0.9119132753232826,0.20862261623367165,2,-60.21172859084262,11,Rain,14.952282068462248,10.787513801550821,0.87332251312574,1.6322583071953063,0.9311511915525759,2023-01-01 00:44:00,Afternoon
46,Motorcycle,72.29630045487197,582.6009367844994,156.10499763740026,Emergency,V2X,3,eMBB,87.48878659472572,43.778687004595945,11.00122397347906,32.08267475643294,0.9142003078397766,0.7681438984577594,4,-97.9861288960522,32,Fog,50.33581703342095,10.814928885752705,0.5475262481101981,4.029412152690991,0.8619402514957661,2023-01-01 00:45:00,Morning
47,Motorcycle,58.77430415858889,143.31003627561068,54.75993118962808,Low,V2V,1,eMBB,31.63204711327418,7.014498023053871,7.211300942821799,5.021578464580389,0.7134760967450253,0.5974241735573221,9,-89.98063005370594,54,Fog,25.214383128424057,16.85870865483212,0.7457570605311145,3.073428972329009,0.7827447990023668,2023-01-01 00:46:00,Morning
48,Truck,63.438792478713076,445.4054285778348,400.8632388049265,Emergency,V2I,8,mMTC,45.885887526203,77.27147869305085,30.845883682166587,15.625453171637492,0.7652410690219462,0.48859983941210283,9,-88.82588047957695,87,Snow,7.8695529127962685,2.947386149369048,0.8990524347304405,2.847605016479021,0.7326373341443098,2023-01-01 00:47:00,Afternoon
49,SUV,40.13310325417249,355.0947663631898,336.87854513887214,Medium,V2I,8,eMBB,55.689089879808186,44.979501878207984,47.382573188387,49.50135644267116,0.6263700745870846,0.870798887926379,1,-112.42793760131693,9,Fog,65.54492982527327,7.029849016159109,0.7999859947922521,3.6554238230989116,0.641825404499829,2023-01-01 00:48:00,Evening
50,SUV,62.317523117076384,495.66134403508835,637.3541578683929,Low,V2V,9,mMTC,14.443535519279731,76.88175200452376,14.632530615683384,10.0554827527044,0.7317193488449911,0.5664407375391105,5,-61.57706452748935,87,Fog,47.13668750354955,19.93667230483153,0.7123259393446553,0.8966632037388965,0.568645026333176,2023-01-01 00:49:00,Morning
51,Truck,23.70670868141739,870.3290345540943,535.6651079334027,Low,V2I,4,URLLC,71.97210956379091,9.03348234189164,5.873213938407285,8.551859819648742,0.9803580003811803,0.7669927346199314,9,-101.65834946031185,33,Rain,27.574733574120874,16.64204816843728,0.745425836506984,0.41132493636839884,0.6468326700638185,2023-01-01 00:50:00,Morning
52,SUV,96.62092768324521,775.8614386586519,595.9707593878597,Low,V2V,8,URLLC,26.970387956266855,92.67318516147724,21.769214971102958,27.192395284978065,0.9082859665912869,0.28576611915645067,8,-93.66180979760261,33,Rain,9.192844595421526,5.86633973788826,0.5341987235002821,2.497220966241587,0.6519118087934979,2023-01-01 00:51:00,Evening
53,Truck,22.293234563844937,83.98950138915895,471.9772029376541,Medium,V2X,7,eMBB,39.9837866488496,65.3934159290531,1.0236465521849263,18.087384507695493,0.6813385719141927,0.12579811847573286,9,-67.11508390746297,64,Fog,45.838954953675525,14.606475987636124,0.888452993229176,0.10657971420731671,0.6255605725117346,2023-01-01 00:52:00,Evening
54,Motorcycle,10.195954786735971,890.3091977745643,277.73714855425715,Low,V2V,4,eMBB,47.304353251264395,9.31965631240495,28.12515127372403,29.020475414387693,0.8164595189895285,0.2689465015278195,4,-77.84073366646196,3,Clear,19.36643876256751,6.303636301003774,0.8008349593981672,0.16422838655763766,0.726050253467875,2023-01-01 00:53:00,Morning
55,Truck,52.34952316285889,471.7671511498236,952.8253149464771,Low,V2V,1,eMBB,67.46592966530028,5.418209861602467,3.424485198507791,48.23266978928719,0.6267041374126587,0.8906721791573385,9,-102.24824428898957,88,Rain,53.13254379234871,16.514741186378473,0.9723949083747669,3.320243469958564,0.6839439303150127,2023-01-01 00:54:00,Night
56,Motorcycle,78.99689274072742,743.8621448859984,86.40915976013896,Emergency,V2V,3,eMBB,15.893563411672844,58.460142151352144,46.617314551725755,10.67752894874588,0.6035693959628675,0.5490608044955001,7,-116.18696504390395,31,Fog,91.72415535456119,15.867663680155239,0.8825586772769394,2.114061185059226,0.7864160847360477,2023-01-01 00:55:00,Evening
57,Motorcycle,52.526018992024966,140.03923126435214,938.8909994653072,Medium,V2I,8,URLLC,40.677556307826386,92.88493689742351,43.62671660966646,24.798870733385648,0.7087892007183361,0.7735088653722059,2,-111.87801418812109,63,Rain,61.53377427407673,15.72281207530241,0.8931207833287779,4.886383451907253,0.8199048541926799,2023-01-01 00:56:00,Evening
58,Sedan,33.21049583415703,670.7195257070481,311.23804686473466,High,V2V,8,mMTC,34.69255628251848,52.15995405979818,6.630181334012271,39.14652851600614,0.585901488713112,0.6479838607898813,10,-96.5591849233079,51,Snow,35.258869097472726,2.0643180571870436,0.6039399676004444,2.99445133990625,0.5380529845656659,2023-01-01 00:57:00,Evening
59,Truck,66.98054206685289,236.32601760945792,512.6614453672975,Medium,V2V,2,mMTC,10.13674798998844,36.85049428258099,8.197930173910784,12.233337081345594,0.7773707834845859,0.2235547402113629,8,-93.37384179042206,75,Fog,25.30710937686155,18.467081270351287,0.6860681932609838,4.403637784494878,0.9392475681190335,2023-01-01 00:58:00,Afternoon
60,Sedan,41.64028024946399,438.38089714093155,108.84232282754613,Medium,V2V,7,eMBB,72.24880970965755,89.50333419806036,47.71892690822227,37.0446791218622,0.7123979002364542,0.19094473248178823,8,-91.18497421717723,87,Snow,35.7913260378391,16.47033254811285,0.5206805835962278,4.420759196507011,0.7969065966882867,2023-01-01 00:59:00,Morning
61,Truck,111.94412281519597,16.862870082104408,70.93106837100926,Low,V2V,1,mMTC,31.234144229481366,93.55582511544216,40.864081796002914,23.009028769516895,0.569099527097356,0.4883054633210827,9,-116.04497097291362,51,Fog,62.266383875544484,7.365094473766311,0.9282790449893294,4.168281400753094,0.6465374675470918,2023-01-01 01:00:00,Afternoon
62,Truck,110.71741675242865,151.61063793047603,429.54544871860287,Emergency,V2I,4,eMBB,24.979452664506237,75.6036325642134,47.15920320218951,32.93627121033451,0.8502365514232595,0.8536855141037626,10,-117.6205425301419,5,Clear,12.512859692946204,10.49203715255506,0.6544665438166384,1.780135970682339,0.5417697424290382,2023-01-01 01:01:00,Evening
63,Sedan,60.28461839665145,92.08049312361976,741.6973763796782,Emergency,V2V,7,mMTC,81.81687364610336,69.61232785547132,17.39056961092561,28.652593684897877,0.8605016645743704,0.2064440255602465,3,-82.59474296571585,45,Clear,18.927220203202864,16.406243041219092,0.7795008484876467,3.9434496877916487,0.7455924497022779,2023-01-01 01:02:00,Night
64,Sedan,39.34607928219102,239.74417293825846,269.36477754854894,Medium,V2I,4,eMBB,13.527847633572687,5.185733215563407,6.436904244873882,25.275011834742024,0.9452193679640867,0.5015348396146637,9,-110.27794504970862,82,Rain,47.94719137109862,19.923084848808866,0.6743819864374386,0.6302817737260863,0.5828863081895769,2023-01-01 01:03:00,Morning
65,Truck,88.4558896747967,100.01809002432228,562.34788893532,High,V2I,4,eMBB,91.02159529358501,33.23143876885497,31.153956531019325,26.556555472693613,0.8560611798304357,0.7078377725360376,6,-80.65088884239881,3,Rain,91.14482578567089,19.094931432780424,0.8799791777222767,1.9710589496894628,0.7711482474522424,2023-01-01 01:04:00,Evening
66,SUV,4.405553217967997,691.9100266195619,278.65034052281834,Medium,V2X,7,mMTC,71.82114960734779,88.2658620406227,48.36855419179693,11.626046710867378,0.6086024814556602,0.16316283110097612,9,-110.98593083259703,64,Clear,89.73214607651761,12.739178206095808,0.7114349335799495,3.7890690667519604,0.6424000089246066,2023-01-01 01:05:00,Morning
67,Motorcycle,56.97228072523815,29.03990220921937,388.6130608930408,High,V2I,1,eMBB,25.457171267910894,38.13222270594898,7.368216240982962,24.538244913068112,0.8315010879438156,0.42558258089109746,6,-87.0563745697759,33,Snow,5.238387703389643,10.84520478299603,0.6842561095385857,2.6982170121932203,0.7379536152046191,2023-01-01 01:06:00,Afternoon
68,Sedan,40.35880731244002,617.7405006249979,906.4463184738247,High,V2V,5,mMTC,41.509272393450956,35.112161311316186,41.125843327139336,38.88828846726374,0.9881516471585929,0.5288095587622758,4,-103.55167225309637,94,Fog,55.51651906051377,5.339369067830437,0.7910742743797077,2.695807430887894,0.6871749783441586,2023-01-01 01:07:00,Morning
69,Motorcycle,110.46430621230657,140.70783082557426,855.8396254949196,Medium,V2V,6,URLLC,95.49848187839368,53.34625905939646,18.62103146993181,45.349325406842524,0.9262043458837121,0.1877021947190131,5,-107.91314381723755,44,Fog,29.85297864150067,7.7193691745755135,0.7344022062957234,1.7734510329989845,0.719207843566728,2023-01-01 01:08:00,Afternoon
70,SUV,1.4403632727219051,945.1614571778969,516.0175434176299,Low,V2X,7,eMBB,65.69601240015722,45.3007725256866,6.65990858274362,33.20087744394094,0.7169391601508941,0.6249368179367084,5,-106.74787993383814,60,Rain,8.795257388684927,1.6711067661189647,0.896477326584795,3.6067313751909884,0.5444282312264355,2023-01-01 01:09:00,Afternoon
71,SUV,66.33778508620189,933.0940731098542,238.10562747207877,Low,V2I,7,eMBB,64.78458731995332,82.29180910396184,23.492823621690704,42.22875089910959,0.8480339548052056,0.6910067186431521,3,-94.33849759826576,51,Fog,68.45634088740024,12.88348314209814,0.6245907152972894,1.1485534264013033,0.8245873013626124,2023-01-01 01:10:00,Evening
72,SUV,88.87962972799512,225.5031025209626,193.18391273302282,High,V2V,7,URLLC,68.77639829013866,12.35264617780011,24.94793586033778,27.840186114498575,0.5081079596222728,0.6115891875060846,5,-87.57631611744377,31,Fog,67.29308065946202,7.085489702242568,0.955129930721278,1.8422869496059195,0.6318539219776139,2023-01-01 01:11:00,Morning
73,Sedan,58.20215850288495,614.4212982230295,954.0873530357143,Emergency,V2X,2,eMBB,51.64639799753743,64.28744175300967,1.4450879888274013,14.72737005206619,0.6094898511080462,0.15932319266149292,8,-70.50963637160146,93,Clear,48.93761087832152,8.045883941464753,0.5667903558100258,1.2316207215800499,0.918517765094657,2023-01-01 01:12:00,Evening
74,SUV,10.2483636195266,28.005319472458435,202.7165965106875,Low,V2I,6,URLLC,25.057307186990577,67.74711684451377,24.24805020138443,37.57773148945984,0.6995324352096961,0.10523836651956842,4,-76.36965673397378,19,Rain,56.29939804469087,5.659525513145255,0.5360240763188594,0.4770007912761849,0.6237124982968979,2023-01-01 01:13:00,Afternoon
75,Sedan,116.69536680334826,931.7885430511741,808.1683109125391,Low,V2X,9,mMTC,23.58020004716312,84.2101486249657,32.7264258690866,36.58321139981794,0.7053769933207039,0.7388237135413759,7,-107.28682140243885,33,Rain,25.98443029881453,2.2089339790670506,0.8595703417921301,3.3950956600272275,0.6435192696827585,2023-01-01 01:14:00,Afternoon
76,SUV,62.16125176513175,522.9873081917096,368.97020953553726,High,V2I,7,URLLC,71.85795799409763,42.420596400204744,38.468420627833744,5.327161281178202,0.9392090125511477,0.4919718449364997,1,-93.91578153000548,65,Clear,53.68278320537048,15.42739655075525,0.6548918473699612,2.8198458822758385,0.5375310199590542,2023-01-01 01:15:00,Afternoon
77,Motorcycle,73.70234931828136,43.22315141777899,985.6598475582383,High,V2I,7,mMTC,89.55471866457083,31.550480925754854,5.82931575971826,26.57711418610152,0.9945392817827017,0.5521497697182527,3,-118.0954828333782,83,Rain,6.368227220082069,9.923654186007983,0.8663462398512901,1.372748762860948,0.8466392352030662,2023-01-01 01:16:00,Night
78,Motorcycle,28.39317392490088,342.4999930081374,368.15574036278787,High,V2I,2,URLLC,37.01897979864227,61.39047761308804,43.950352617888754,47.15339544991902,0.7274040963706749,0.8255804788572543,4,-85.79417703528131,34,Snow,64.97919050855033,18.449967767934435,0.72111688242198,1.074166651789598,0.5522264411952263,2023-01-01 01:17:00,Afternoon
